president,Self-Direction,Stimulation,Hedonism,Achievement,Power,Security,Tradition,Conformity,Benevolence,Universalism
Washington,13.249651324965132,3.486750348675035,1.3947001394700138,13.249651324965132,6.2761506276150625,4.184100418410042,4.881450488145049,8.368200836820083,7.670850767085077,8.368200836820083
Jefferson,12.702078521939953,4.041570438799076,3.464203233256351,12.702078521939953,12.702078521939953,8.660508083140877,8.083140877598153,12.12471131639723,8.660508083140877,13.27944572748268
Lincoln,9.929078014184398,4.25531914893617,0.0,9.929078014184398,4.25531914893617,21.27659574468085,14.184397163120567,0.0,7.092198581560283,18.439716312056735
Roosevelt,10.621348911311737,11.152416356877323,1.5932023366967605,11.152416356877323,7.966011683483803,9.028146574614976,9.028146574614976,10.621348911311737,12.745618693574084,5.8417419012214555
Kennedy,19.832189168573606,5.339435545385203,2.288329519450801,9.153318077803204,16.018306636155607,14.492753623188406,5.339435545385203,6.102212051868802,15.255530129672005,12.204424103737605
Nixon,14.547160957297043,7.0389488503050215,4.2233693101830125,13.608634443923041,9.385265133740027,7.0389488503050215,4.2233693101830125,2.8155795401220085,10.323791647114032,10.323791647114032
Reagan,14.669926650366747,4.88997555012225,1.2224938875305624,15.077424612876936,11.817440912795437,6.519967400162999,8.149959250203748,4.4824775876120615,10.187449062754686,6.519967400162999
Bush,19.683354728284122,4.7068891741549,2.567394094993581,10.69747539580659,10.269576379974325,5.562687205819427,5.134788189987162,2.995293110825845,18.39965768078733,10.269576379974325
Clinton,18.170426065162907,19.423558897243108,4.385964912280701,8.771929824561402,11.904761904761903,6.8922305764411025,5.639097744360902,3.7593984962406015,14.411027568922306,7.518796992481203
W Bush,17.62114537444934,10.698552548772813,1.2586532410320956,10.698552548772813,12.586532410320958,11.95720578980491,8.81057268722467,8.18124606670862,16.991818753933295,13.845185651353052
Obama,13.272501036914143,8.29531314807134,4.9771878888428045,10.369141435089174,9.53961012028204,10.369141435089174,8.710078805474907,2.073828287017835,10.369141435089174,8.29531314807134
Trump,11.07266435986159,8.304498269896195,5.536332179930795,11.76470588235294,14.53287197231834,17.99307958477509,6.920415224913495,3.4602076124567476,9.688581314878892,13.14878892733564
